"subject" "walking" "walkingupstairs" "walkingdownstairs" "sitting" "standing" "laying"
"1" 1 -0.193204572492262 -0.315336808393305 -0.149358035365099 -0.725010256710861 -0.751886863913404 -0.681581978523055
"2" 2 -0.32544820638322 -0.27094863788048 -0.106411521321941 -0.737361985616243 -0.739970261016944 -0.743126753233842
"3" 3 -0.317947801074047 -0.358357567758965 -0.232708366871836 -0.707845449974583 -0.712068206745217 -0.734347688677236
"4" 4 -0.392128132692634 -0.341355950186464 -0.281840698460603 -0.717843420704141 -0.705320467661402 -0.728668034663377
"5" 5 -0.290846535887125 -0.244346694233246 -0.149721994636294 -0.71816250875378 -0.698248943096751 -0.739085358855865
"6" 6 -0.231135633132547 -0.189984813956898 -0.000804104618582071 -0.7166252231237 -0.723169679977658 -0.714481502407656
"7" 7 -0.184567020446338 -0.362851021783283 -0.164658253921528 -0.712354376735631 -0.725824852727622 -0.723857064735047
"8" 8 -0.16056841343373 -0.146879782054871 -0.00103612319688198 -0.72745694109493 -0.735324128855415 -0.722406520353446
"9" 9 -0.286806225658878 -0.352322249173958 -0.162548480947928 -0.704523755500333 -0.719415113824515 -0.726146510489097
"10" 10 -0.207316119201447 -0.214657479004489 -0.108732322835411 -0.73712845579557 -0.721542732014904 -0.751454042087244
"11" 11 -0.379016958409591 -0.370962843516591 -0.220718087092131 -0.730213416461106 -0.747503181881309 -0.739250481303299
"12" 12 -0.256034499452433 -0.354006222470134 -0.179277771565335 -0.727919507003818 -0.719351505561252 -0.72760644728624
"13" 13 -0.210988794167055 -0.330641118753785 -0.170802030677804 -0.735239423441511 -0.742391626905495 -0.731168410513377
"14" 14 -0.288349500486322 -0.111119139268373 0.00341910027488552 -0.730278809106672 -0.733750919831609 -0.706780359580511
"15" 15 -0.306114313281622 -0.294341669544798 -0.114055542511411 -0.733838697315558 -0.733951795404 -0.732694054370465
"16" 16 -0.383138718688577 -0.382992324573922 -0.21577265313244 -0.734763414612203 -0.744597444550344 -0.743287358888657
"17" 17 -0.309280113929322 -0.302507349895375 -0.233445826587078 -0.747004627057666 -0.753476669240357 -0.731324690617382
"18" 18 -0.394478845416299 -0.42646923228292 -0.377526737575512 -0.743850843467203 -0.744424330919073 -0.746133039821382
"19" 19 -0.0739875703910806 -0.196891295749223 0.154941520892261 -0.728175891288928 -0.73554803643265 -0.742143249540819
"20" 20 -0.0954032717082775 -0.205762872215166 -0.0458055951405788 -0.726102407642704 -0.703585407231564 -0.737847526254904
"21" 21 -0.239612750488894 -0.298692900152311 -0.139645365609202 -0.743125990670937 -0.740332493442983 -0.729316795500066
"22" 22 -0.161843378710114 -0.191712185339628 -0.147381918801591 -0.720164924412542 -0.726785296080127 -0.718920180798411
"23" 23 -0.0969339947223061 -0.25943590535943 -0.00547247287462682 -0.726113491116866 -0.735074230891955 -0.738453366680006
"24" 24 -0.356957437224817 -0.362618588027219 -0.241425533951455 -0.737144249115584 -0.734420049761198 -0.738162801094621
"25" 25 -0.42015627084922 -0.435418743421543 -0.345951992614543 -0.737614646951336 -0.739256665905592 -0.6550466559966
"26" 26 -0.318740418835688 -0.330337988544182 -0.175493103647397 -0.732209186814351 -0.740410224586124 -0.744683873718817
"27" 27 -0.315300610673124 -0.368009684288904 -0.180615867943192 -0.738607565821911 -0.743828559458429 -0.747039773104429
"28" 28 -0.313871992811888 -0.323401541369843 -0.139396563077246 -0.731041115599865 -0.712417065277087 -0.749711337306598
"29" 29 -0.256846692509308 -0.231956730511577 -0.178812689061223 -0.739022156685121 -0.746979641390065 -0.747047283845479
"30" 30 -0.267020565167016 -0.33891298828135 -0.217523391374438 -0.732058477455571 -0.714291901922109 -0.73371945664569
